site_id,gene_id,distance_to_TSS,distance_direction,intercept,carers,(Intercept)_p_adj_global,p,meth_carers2,meth_carers3,delta_percent,chr,start,end,annotation
VYZT01004753.1_14068,Snta1,5806,downstream,-0.362190440309694,2.51416307852059,0.711056674057078,0.000735776107644422,41.0429425719688,89.5852968639778,48.5423542920091,VYZT01004753.1,14068,14068,gene_body
VYZT01010488.1_1079,Tars_1,2423,downstream,0.471512267095798,1.87653641112912,0.411758277412725,0.000380009877919635,61.574162721792,91.2779001089576,29.7037373871656,VYZT01010488.1,1079,1079,gene_body
VYZT01001938.1_170968,POSRUF_R04507,154,downstream,0.189370576611893,1.32021982249315,0.750277208292643,0.00309866198155527,54.7201669288214,81.9000496083923,27.1798826795709,VYZT01001938.1,170968,170968,promoter
VYZT01030555.1_78336,POSRUF_R11314,2133,downstream,1.91875174787798,-1.53760906238759,6.79491067254294e-06,0.00124195406393688,87.1999172687495,59.4148675190079,-27.7850497497416,VYZT01030555.1,78336,78336,gene_body
VYZT01028128.1_6926,Smtnl1,-673,upstream,0.110886745381132,1.21730013913582,0.763431720750004,3.85209681565156e-110,52.7693316040212,79.054056607465,26.2847250034437,VYZT01028128.1,6926,6926,promoter
VYZT01054913.1_179595,Lpp,172824,downstream,2.8300859339763,-2.09186572930215,6.27749506731389e-10,1.59976680160166e-05,94.428012367488,67.6606541466319,-26.767358220856,VYZT01054913.1,179595,179595,gene_body
VYZT01013657.1_3138,,,,1.27298810646545,-1.18162903475754,0.00180521057845199,0.000541794617722973,78.1253833339292,52.2823895202831,-25.8429938136461,VYZT01013657.1,3138,3138,intergenic
VYZT01032558.1_51885,,,,2.68297772783322,-2.00963212760675,9.01656838509938e-08,0.000114225662917485,93.6014694958852,66.2251889807854,-27.3762805150997,VYZT01032558.1,51885,51885,intergenic
VYZT01035958.1_430845,Bid,4842,downstream,0.352097745018157,1.72036582451642,0.791116149372235,1.68564318282304e-13,58.7126184018785,88.819783397366,30.1071649954875,VYZT01035958.1,430845,430845,downstream10k
VYZT01056689.1_76563,Cxxc5,50045,downstream,0.320786782170708,1.47004080522798,0.608247564676306,0.00309828639692794,57.9515985016767,85.7028711182531,27.7512726165764,VYZT01056689.1,76563,76563,intergenic
